idx	X	Y	component
0	1000	2218.011629605069	0
1	1002.997412445466	2218.589966596077	0
2	1002.02003312601	2218.94348760058	0
3	1002.99550190773	2218.591047578714	0
4	1002.996470043144	2218.590549494094	0
5	1012.707196005701	2213.099539884559	0
6	1012.706598916929	2213.099995376011	0
7	1013.298322136014	2212.253432477562	0
8	1012.710792860409	2213.099345189296	0
9	1013.299388112713	2212.252850559599	0
10	1013.299484759321	2212.252842776999	0
11	1044.69264651342	2198.836467782309	0
12	1044.693642252471	2198.836880110041	0
13	1056.246158028404	2192.116598429038	0
14	1044.694352882379	2198.835801673639	0
15	1056.247699123246	2192.116087755901	0
16	1056.248751396003	2192.115743812291	0
17	1065.302910723565	2187.058658761734	0
18	1065.299673267616	2187.058703192208	0
19	1084.476053598034	2174.707547401507	0
20	1065.302575120996	2187.058455806968	0
21	1084.480107596291	2174.706654301467	0
22	1130.367997124617	1000	0
23	1739.385421593363	1499.48112758826	0
24	1084.477011363546	2174.705391226781	0
25	1096.571461573527	2162.877737420099	0
26	1096.56925228127	2162.881360947978	0
27	1099.165928344517	2160.480401231777	0
28	2756.842656014657	1498.460644494388	0
29	2756.012697903453	1497.95746426907	0
30	1107.029020089996	2153.261923139353	0
31	1107.657950823094	2152.42544346858	0
32	1107.658988983203	2152.425186938674	0
33	1130.502276340316	2129.873400894462	0
34	1107.039682817614	2153.257871905332	0
35	1107.668423662667	2152.41839897773	0
36	1739.238065605515	1500.4737392624	0
37	1753.099194743901	1540.279063476258	0
38	1130.494011520716	2129.876314265603	0
39	1134.658869613891	2125.271335642756	0
40	1130.502849603436	2129.872563984519	0
41	1134.668539119366	2125.265401828602	0
42	1134.669348933027	2125.26493221592	0
43	1140.73625079289	2117.742753457919	0
44	1140.733933239078	2117.743899992994	0
45	1147.699941324632	2111.200421932745	0
46	1140.736250793771	2117.742753457444	0
47	1147.69908704888	2111.201080689757	0
48	1147.700245237083	2111.199229103697	0
49	1161.641381590909	2096.261926060108	0
50	1161.642009617976	2096.260217908454	0
51	1164.817557878318	2091.102574817328	0
52	1161.642455498541	2096.261114206306	0
53	1164.823901087453	2091.096588123347	0
54	1164.81751179113	2091.102563407189	0
55	1179.425880121998	2073.57536155966	0
56	1179.425408835932	2073.57561493812	0
57	1186.298718873405	2065.304266575501	0
58	1179.436326438376	2073.567997867823	0
59	1186.307525852365	2065.300148151907	0
60	1186.30088089876	2065.303364623515	0
61	1199.588974754894	2051.626216135433	0
62	1199.589497711186	2051.626059858016	0
63	1216.04413496694	2037.394614281872	0
64	1199.594007166531	2051.622266797025	0
65	1216.047630888633	2037.394284193912	0
66	1216.043188286579	2037.395150333297	0
67	1229.443181589703	2026.710578980665	0
68	1229.442810455381	2026.711417244508	0
69	1230.228468832737	2025.965351643793	0
70	1230.234015173416	2025.962765335321	0
71	1237.380257034152	2019.479255254831	0
72	1229.448253612195	2026.70778372892	0
73	1230.250775065505	2025.955137535567	0
74	1237.379454247716	2019.479570343808	0
75	1241.218677691005	2015.764269536242	0
76	1237.381540825269	2019.478910941405	0
77	1241.22504643045	2015.761916334572	0
78	1241.225046429451	2015.761916334605	0
79	1257.032908212447	2000.344869617461	0
80	1257.030518111828	2000.346175443003	0
81	1260.036768328877	1997.163424101243	0
82	1257.032908213442	2000.344869617368	0
83	1260.049255363073	1997.15739258435	0
84	1260.036099047602	1997.163158121776	0
85	1276.987335545334	1982.510471302833	0
86	1276.984419048424	1982.512351181121	0
87	1287.282183950405	1974.085816256335	0
88	1276.987259021678	1982.510549303749	0
89	1287.287062591117	1974.08522868333	0
90	1287.286640946249	1974.08557359225	0
91	1298.655513310886	1964.537636864033	0
92	1298.698744923489	1964.481879605897	0
93	1304.998557575949	1956.687555971995	0
94	1298.614507949409	1964.598071397725	0
95	1298.698514311074	1964.482945880208	0
96	1304.998760790734	1956.685899247207	0
97	1305.258946688583	1955.677942885548	0
98	1305.261001936277	1955.675687659789	0
99	1314.075870678274	1947.099255058006	0
100	1305.001264740235	1956.684903458272	0
101	1305.264368331998	1955.673951619397	0
102	1314.074529105284	1947.098522771679	0
103	1318.734807120491	1942.360857070005	0
104	1314.086723965192	1947.093727056206	0
105	1318.747832046108	1942.354981128979	0
106	1318.734344392245	1942.361237609688	0
107	1328.140644227979	1934.337757719789	0
108	1328.135204931837	1934.341170422294	0
109	1330.211216463009	1931.888426923786	0
110	1330.213097025182	1931.88697682195	0
111	1357.333648704943	1909.269391850016	0
112	1328.138296175785	1934.339537274267	0
113	1330.218628360956	1931.882901635225	0
114	1357.332202212486	1909.270328841646	0
115	1387.472619368184	1887.501016671278	0
116	1357.333648705928	1909.269391849845	0
117	1387.471856841453	1887.501151712476	0
118	1387.468795813361	1887.503109801121	0
119	1397.406712836596	1880.841749434735	0
120	1397.428863006691	1880.817022921435	0
121	1416.23257269367	1862.55654668341	0
122	1397.412469054607	1880.836678325907	0
123	1397.490865554714	1880.759482138113	0
124	1416.232704992098	1862.556573163072	0
125	1416.302733900868	1861.551036858117	0
126	1416.310995487247	1861.549955529393	0
127	1450.308898992152	1834.199095354305	0
128	1416.236270019192	1862.553829937517	0
129	1416.311091564415	1861.549313273918	0
130	1450.199755997861	1834.246445665949	0
131	1460.733009213065	1820.159203159471	0
132	1450.308596103345	1834.198794908854	0
133	1460.772264412134	1820.141179667517	0
134	1460.767359518171	1820.143515395335	0
