idx	X	Y	component
0	1000	1021.002297863713	0
1	17491.17458784046	1018.336407897908	0
2	17491.17452911721	1018.336407892041	0
3	17805.08942443856	1012.690911958384	0
4	17805.08942179822	1012.690911957289	0
5	28063.38284303147	1016.937798566283	0
6	25020.32173240669	1019.469008092343	0
7	25082.32173240669	1013.933795932589	0
8	28063.382836286	1016.937798465236	0
9	28133.51980380157	1017.988547305483	0
10	28133.51979383131	1017.98854608283	0
11	28195.30315029646	1011.244047127752	0
12	28195.30319895375	1011.244051624241	0
13	28471.89735047243	1008.893006922375	0
14	28471.89730696559	1008.893007333568	0
15	28535.67877013653	1016.013454925273	0
16	28535.67877804211	1016.013454841638	0
17	28888.51646201207	1016.207716027767	0
18	28888.51646201307	1016.207716027745	0
19	28950.4853219223	1011.161388372546	0
20	28950.48526365219	1011.161389877881	0
21	66421.04436723914	1017.442194218266	0
22	66421.04446774101	1017.442195460442	0
23	66477.23607078858	1016.215368235377	0
24	66477.23608389744	1016.215367974197	0
25	70410.83707177814	1012.325045716008	0
26	67311.32173240668	1013.073441107792	0
27	67368.32173240668	1014.073874946554	0
28	70410.8370551602	1012.32504571628	0
29	106088.4770390143	1015.393893094386	0
30	102900.3217324067	1012.888956643309	0
31	102935.3217324067	1017.312479212078	0
32	102935.3217324067	1020.928889674743	0
33	102943.3217324067	1015.281829680147	0
34	102943.3217324067	1016.535625907446	0
35	103188.3217324067	1015.884181471035	0
36	103188.3217324067	1010.345831438451	0
37	103344.3217324067	1008.227227547893	0
38	103344.3217324067	1009.407248523299	0
39	103428.3217324067	1022.147277591103	0
40	103428.3217324067	1008.051820193646	0
41	103501.3217324067	1011.849026063126	0
42	103501.3217324067	1018.476700722918	0
43	103673.3217324067	1011.800978861371	0
44	103673.3217324067	1009.353762047344	0
45	103764.3217324067	1013.85634453327	0
46	103764.3217324067	1021.908545173419	0
47	103775.3217324067	1011.537205193436	0
48	103775.3217324067	1016.774980276261	0
49	103806.3217324067	1016.428565173523	0
50	106088.4770422392	1015.39389309379	0
51	171521.063660726	1015.46778139012	0
52	171521.0635797277	1015.46778139094	0
53	180328.2721772104	1015.419351806939	0
54	180328.2721968782	1015.419351807225	0
55	287100.4097502124	1015.643357617059	0
56	287100.4096749205	1015.643357065331	0
57	287118.5255353193	1015.825195931506	0
58	287118.5257100847	1015.825195868797	0
59	287423.1441065305	1016.794760637197	0
60	287423.1440943253	1016.79476073486	0
61	287443.238304273	1016.598847498892	0
62	287443.2382365323	1016.598847650768	0
63	291995.9825842268	1015.243691220793	0
64	291995.9826519368	1015.243691274063	0
65	292848.7548028633	1018.504033850199	0
66	292848.7547112315	1018.504033805424	0
67	302315.4928932094	1015.404243484676	0
68	302315.4931506495	1015.404244660763	0
69	302319.5144252501	1015.541451134581	0
70	302319.5147118194	1015.54144998281	0
71	302378.9259332518	1015.860343228563	0
72	302378.9257563768	1015.860342942158	0
73	302381.9467006488	1015.9212669963	0
74	302381.9467578079	1015.921266836472	0
75	314995.3122322923	1016.258538155974	0
76	311480.3217324067	1009.167452961863	0
77	312998.3217324067	1020.258469764901	0
78	314995.3123995674	1016.258538159815	0
79	408454.2459398736	1015.97754113205	0
80	405462.3217324067	1017.786864707134	0
81	406119.3217324067	1009.035422438223	0
82	408454.2460220862	1015.977541132837	0
83	408470.415399625	1016.513561031641	0
84	406135.3217324067	1010.122298958144	0
85	406329.3217324067	1021.663215058293	0
86	406329.3217324067	1019.053114819175	0
87	406619.3217324067	1010.976027212593	0
88	406619.3217324067	1018.280593908092	0
89	406779.3217324067	1016.988988169804	0
90	406779.3217324067	1015.308078629972	0
91	406914.3217324067	1010.046315885755	0
92	406914.3217324067	1009.275167720623	0
93	406915.3217324067	1014.318182387903	0
94	406915.3217324067	1010.382370605297	0
95	407047.3217324067	1017.950724397501	0
96	407047.3217324067	1008.005696438563	0
97	407219.3217324067	1016.040208460781	0
98	408470.4154404255	1016.513559834512	0
99	445748.5688643184	1014.220743396628	0
100	445748.568963465	1014.220746147109	0
101	445875.009034167	1018.650194034718	0
102	445875.0094624168	1018.650194010497	0
103	452085.0664902536	1017.018570060544	0
104	450319.3217324067	1019.671560625471	0
105	450348.3217324067	1013.799669585172	0
106	450348.3217324067	1008.652456658543	0
107	450363.3217324067	1012.468098830917	0
108	450363.3217324067	1014.951792713011	0
109	450375.3217324067	1009.21301403264	0
110	450375.3217324067	1013.204923783499	0
111	450382.3217324067	1014.036616138978	0
112	450382.3217324067	1009.212433900575	0
113	450386.3217324067	1014.578913463407	0
114	450386.3217324067	1021.806797778289	0
115	450398.3217324067	1013.987339557437	0
116	450398.3217324067	1011.556517207312	0
117	450401.3217324067	1010.094087401472	0
118	450401.3217324067	1012.885843172693	0
119	450680.3217324067	1020.789244604474	0
120	450680.3217324067	1013.5988739073	0
121	450949.3217324067	1016.160258231381	0
122	450949.3217324067	1017.655336560618	0
123	450981.3217324067	1009.727851520053	0
124	452085.0664963162	1017.018570057913	0
125	462243.4489455605	1013.1136106238	0
126	461011.3217324067	1014.070499347245	0
127	461031.3217324067	1019.484559133724	0
128	461031.3217324067	1015.141154532285	0
129	463611.3217324067	1011.514413617838	0
130	463611.3217324067	1019.925747946882	0
131	466185.3217324067	1017.017348431926	0
132	466185.3217324067	1008.336704573729	0
133	466286.3217324067	1012.567891536037	0
134	462243.4488354685	1013.113610622069	0
135	501858.8923299925	1013.362051023029	0
136	501858.8924919328	1013.362051183222	0
137	502172.8352079829	1014.593585196669	0
138	502172.8349883952	1014.593585041926	0
139	539535.6676403834	1012.011442098759	0
140	542458.3217324067	1011.076966242152	0
141	542591.3217324067	1009.907414613359	0
142	542591.3217324067	1008.756738475176	0
143	542602.3217324067	1015.907659730281	0
144	542602.3217324067	1017.675749643402	0
145	544106.3217324067	1019.977587228295	0
146	544106.3217324067	1012.259876123475	0
147	545665.3217324067	1014.72952481305	0
148	545665.3217324067	1009.807338491593	0
149	547178.3217324067	1019.537434004325	0
150	547178.3217324067	1009.607286106503	0
151	547225.3217324067	1017.666267549718	0
152	547225.3217324067	1013.754402365363	0
153	547234.3217324067	1014.972489119577	0
154	539535.6677205308	1012.01144210287	0
155	641277.9591386275	1018.089067263607	0
156	647336.3217324067	1018.746534796589	0
157	647351.3217324067	1012.465095767752	0
158	647351.3217324067	1011.165350322369	0
159	647414.3217324067	1012.589329092792	0
160	647414.3217324067	1017.225915382649	0
161	647474.3217324067	1020.441465711046	0
162	641277.959194478	1018.089067324458	0
163	641329.6180788361	1018.154457524407	0
164	647525.3217324067	1019.641797983787	0
165	647601.3217324067	1013.27664395635	0
166	641329.6179548396	1018.15445747571	0
167	689024.600251555	1012.893030262722	0
168	689024.600198888	1012.893030254737	0
169	689349.1724940375	1012.931546988273	0
170	689349.1725658067	1012.931546989758	0
171	765416.7189676093	1017.499339268708	0
172	765416.7192622729	1017.49933971622	0
173	765466.0621885431	1018.907018882294	0
174	770479.3217324067	1018.429186950894	0
175	770747.3217324067	1012.964761264229	0
176	765466.0623622827	1018.907021401027	0
177	765471.098688973	1018.924839519589	0
178	765471.0987167723	1018.924837674112	0
179	765561.5557337936	1021.834354504918	0
180	765561.5558855388	1021.834355365588	0
181	765624.8105020772	1023.556507218069	0
182	765624.8104681384	1023.556508706355	0
183	765769.3339457029	1020.003101354467	0
184	771049.3217324067	1017.473116366599	0
185	771166.3217324067	1009.935655515379	0
186	765769.3339751104	1020.003101357192	0
187	765805.2470873218	1016.457165233566	0
188	771202.3217324067	1013.69628018328	0
189	771612.3217324067	1014.633768423946	0
190	765805.2471877008	1016.457166517482	0
191	765948.6564453212	1000	0
192	771756.3217324067	1011.898288104975	0
193	771917.3217324067	1009.555630165286	0
194	765948.6564534653	1000.000001051897	0
195	765975.6665255837	1000.21120928244	0
196	771944.3217324067	1014.358663968184	0
197	771958.3217324067	1020.039589800784	0
198	771958.3217324067	1010.308418394116	0
199	772286.3217324067	1014.075507474263	0
200	772286.3217324067	1019.712112188574	0
201	774315.3217324067	1019.736280168992	0
202	774315.3217324067	1020.598608678679	0
203	774324.3217324067	1019.347365882198	0
204	765975.6664946078	1000.211209275703	0
205	768887.9722543067	1010.572157172946	0
